B,P,C,X,N,Time
5,1,1,0,1,10.60
5,1,5,0,1,10.57
5,5,1,0,1,2.27
5,5,5,0,1,2.30
10,1,1,0,1,10.52
10,1,5,0,1,10.68
10,1,10,0,1,10.53
10,5,1,0,1,2.32
10,5,5,0,1,2.25
10,5,10,0,1,2.27
10,10,1,0,1,1.29
10,10,5,0,1,1.48
10,10,10,0,1,1.18
5,1,1,200,1,10.96
5,1,5,200,1,10.83
5,5,1,200,1,10.50
5,5,5,200,1,10.40
10,1,1,200,1,10.85
10,1,5,200,1,10.83
10,1,10,200,1,10.82
10,5,1,200,1,10.53
10,5,5,200,1,10.66
10,5,10,200,1,10.32
10,10,1,200,1,10.35
10,10,5,200,1,10.42
10,10,10,200,1,10.42
5,1,1,400,1,20.48
5,1,5,400,1,20.56
5,5,1,400,1,20.47
5,5,5,400,1,20.51
10,1,1,400,1,20.41
10,1,5,400,1,20.40
10,1,10,400,1,20.67
10,5,1,400,1,20.46
10,5,5,400,1,20.50
10,5,10,400,1,20.43
10,10,1,400,1,20.35
10,10,5,400,1,20.41
10,10,10,400,1,20.46
